,question,modified_relation
4853,What object in this image is used for food?,Category
4725,Which object in this image is capable of weight 1000 kilo?,CapableOf
805,Which animal can weight 1000 kilos,CapableOf
4724,Which citrus fruit can you see in this image?,Category
4582,What can be found in the city?,AtLocation
4726,What property does the place in this image have?,HasProperty
4721,Which object in this image ticks?,RelatedTo
4720,Which object in this image can make light?,UsedFor
2307,which object in this image is less energetic than x ray?,Comparative
4789,which object in this image is capable of reading magazines?,CapableOf
4788,which object in this image can plan a party?,CapableOf
4787,which object in this image can offer money to charity?,CapableOf
4785,which object in this image is capable of walking?,CapableOf
4784,which object in this image is capable of listening to sounds?,CapableOf
4783,what object in this image is capable of buying a wig?,CapableOf
4782,what object in this image has two ears?,HasA
2696,which object in this image has two ears?,HasA
4781,what object in this image is capable of wearing clothes in public?,CapableOf
4780,what object in this image can lie in bed?,CapableOf
5821,which object in this image is slower than car?,Comparative
5820,Which vehicle is faster than the object on the right of this image?,Comparative
5823,Which floating vehicle on the left is smaller than a ship?,Comparative
5822,Name the object used for transportation which is smaller than ship.,Comparative
5825,Which object in this image is related to phillips head?,RelatedTo
5824,Which object in this image is used for inserting screws?,UsedFor
830,Which object in this image can be utilized to insert a screw,UsedFor
5396,What the woman is using to insert screw?,UsedFor
5827,Which object in this image is used for unscrewing screws?,UsedFor
5826,Which object in this image is capable of turning a screw?,CapableOf
992,Which tool is able to turn a screw,CapableOf
5829,Which object in this image is usually used in conjunction with a nail?,HasProperty
5828,Which object in this image is used for pulling nails?,UsedFor
1182,Which object is related to music?,Category
199,what object in this image is smaller than a cucumber?,Comparative
198,Where can you find this device usually?,AtLocation
195,Is pizza found at Italy?,AtLocation
194,What is the dairy product in this image?,IsA
3673,Which object in this image is a dairy product?,IsA
197,Normally where can you find the object in the middle?,Category
196,Why do they need a bow tie?,ReceivesAction
191,Which object in this image only has one wheel,HasA
608,Which object in this image has a wheel,HasA
3850,Which object in this image has one wheel?,HasA
1820,Which object in this image has one wheel,HasA
4540,Which item in this image has one wheel?,HasA
190,Tell me the name of the musical instrument shown in this image,Category
193,Why the man is holding a scissor?,Category
192,What thing in the image looks like cloud?,RelatedTo
2769,Which object in this image is a mammal?,IsA
1185,Which object in this image is a mammal?,IsA
2384,What is the mammal in this image?,IsA
2763,What seen here is a nice friend?,IsA
400,Which animal is a nice friend,IsA
2762,Which object in this image can be found in Africa?,AtLocation
403,where is the animal on the left side can be found at?,AtLocation
507,where is the animal in this image can be found at?,AtLocation
2761,what do the peple sit on?,AtLocation
2760,What seen here might heavily depend on a clock?,CapableOf
2767,Which object in this image might whinny?,RelatedTo
2766,Which object in this image is used for filling sandbags?,UsedFor
2765,What can be found in this place?,AtLocation
2764,Which animal in the image ages faster than humans,Comparative
5518,which object in this image is faster than humanoid?,Comparative
1183,Which object in this image is for sitting?,RelatedTo
3938,Which object in this image is related to sitting?,RelatedTo
908,Which object is related to sit,RelatedTo
854,Which object is for bad weather?,UsedFor
557,Which object in this image is used for bad weather?,UsedFor
1712,What object is used for bad weather?,UsedFor
2417,What object is used for bad weather?,UsedFor
3453,Which object in this image can please little children?,UsedFor
5134,Which object in this image is used for please little child?,UsedFor
3450,Which object in this image is used for entering or exiting an area?,UsedFor
3451,what is the skatboarder in this image doing?,RelatedTo
3456,which thing does the place shown in this image have as a part?,HasA
3457,Which link is less accurate than the action shown in this image,Comparative
3454,what can you find in this image?,AtLocation
3455,what  is heavier than air in this image,Comparative
3458,what in this image is thicker than door?,Comparative
3459,what in this image is less thick than glue?,Comparative
858,What is a remote control used for,UsedFor
859,Which object in this image is related to flower,RelatedTo
6,Which things in this image have roots?,HasA
526,what object in this image has roots?,HasA
5229,What object is able to borrow clothes in this image?,CapableOf
5228,What objects in this image has hooves?,RelatedTo
5220,What thing in the image can blog?,CapableOf
5227,What object in this image is larger than a human?,Comparative
5226,which animal in this image is larger than goat?,Comparative
3596,which animal in this image is less small than goat?,Comparative
3595,which animal in this image is less small than goat?,Comparative
5225,What can be found in this place?,AtLocation
5224,￼Which object in this image can be used to make a call?,CapableOf
4588,Which object in this image can be found in opera?,AtLocation
3063,Which object in this image belongs to the category Working animal?,Category
3062,Which object in this image belongs to the category Working animal?,Category
3061,Which object in this image belongs to the category Working animal?,Category
3060,Which object in this image belongs to the category Working animal?,Category
3067,Which object in this image can be found in floor?,AtLocation
3066,Which object in this image can be found in floor?,AtLocation
3065,Which object in this image can be found in floor?,AtLocation
3069,Which object in this image can be found in floor?,AtLocation
3068,Which object in this image can be found in floor?,AtLocation
3070,Which object in this image can be found in floor?,AtLocation
3071,Which object in this image can be found in floor?,AtLocation
3064,What object in this image has straps?,RelatedTo
1304,what is the name of the animal in this image?,IsA
1305,what can you often find in the place shown in this picture,PartOf
1306,Which object in this image has seeds?,PartOf
1307,Which object in this image belongs to the category Spices?,Category
1300,What object in the image is used by a musician?,RelatedTo
2333,Which object in this image is related to musician?,RelatedTo
1301,Which object in the image is often associated with Fashion?,Category
2283,Which item in the image is associated with Fashion?,Category
1302,Which object in the music can be purchased from a music store?,AtLocation
1375,Which object in this image held by the person can be found in music store?,AtLocation
1849,Which object in this image can be bought from a music store?,AtLocation
1308,Which object in this image belongs to greenery?,IsA
498,what object in this image can be found in a bedroom?,AtLocation
499,Which device in the image can keeps things cold?,IsA
5698,Which object in this image is a machine that keeps food cold?,IsA
494,What thing in this image is able to be found in someone's pocket?,AtLocation
495,Tell me the name of the musical instrument in this image?,IsA
496,What is a scooter used for,UsedFor
497,What is the woman wearing?,IsA
490,Normally you play this game with your?,UsedFor
1858,Which object in this image is used for play with your pet?,UsedFor
491,What is the stuffed animal in the middle?,IsA
978,what is the stuffed animal on the right?,IsA
1093,Which object in this image is a stuffed animal?,IsA
554,What stuffed animal is seen here?,IsA
3140,Which object in this image is a stuffed animal?,IsA
737,what object in this image is a stuffed animal?,IsA
492,what object in this image is used to show information?,UsedFor
1845,Which object in this image is used to show information?,UsedFor
2325,Which object in this image is used to show information?,UsedFor
3939,Which object in this image eats mice?,Desires
3935,Which object in this image belongs to the category Outdoor recreation?,Category
5410,Which stick like object on the ground belongs to the category outdoor recreations,Category
4019,Which Outdoor recreation is shown in this image?,Category
3934,which object in this image works with ITunes?,Category
3155,What object is related to iTunes?,Category
3937,Which object in this image is related to monitor?,RelatedTo
3936,What object in this image may present a CAPTCHA?,RelatedTo
3931,which object in this image is less long than human?,Comparative
3930,Which object in this image might be used for having races?,IsA
3933,Which object in this image is more convenient than a desktop computer?,Comparative
3932,Which object in this image is a popular toy?,IsA
726,What is the name of the popular toy shown in this image,IsA
1241,what in this image can be found in live room?,AtLocation
3265,What thing does the place shown in this image have as a part?,HasA
1508,What can be found in this place?,HasA
4044,Which object in this image is a string instrument play with bow?,IsA
5338,Which object in this image is a string instrument play with bow?,IsA
4045,What instrument in this image has four strings?,HasA
743,Which object in this image has four strings?,HasA
1123,What does the object in the centre of this image have as parts?,HasA
4047,What kind of stringed musical instrument is in this image?,IsA
4043,Which object in this image is a string musical instrument?,IsA
4041,What things in this image belong to the category Technology?,Category
4042,What stuff in this image has two wheels?,HasA
4271,Which object in this image has a two wheel,HasA
885,What object in this image has two wheels?,HasA
520,how many wheels does this vehicle has?,HasA
636,Which vehicle in this photo has two wheels?,HasA
2109,Which object in this image has two wheels?,HasA
4048,What vegetable in this image is related to melon?,RelatedTo
4049,Which object in this image has the property of being good for a romantic dinner?,HasProperty
3664,Which object in this image is a tex mex food?,IsA
3667,which object in this image is less expensive than beef?,Comparative
3666,Which round object in the images belongs to the category food?,Category
1562,Which object in this image belongs to the category Foods?,Category
3661,Which object in this image is capable of buttering his morning toast?,CapableOf
3660,which object in this image is related to glass?,RelatedTo
3663,"What thing, shown in this image, often likes to jump up on furniture and explore?",Desires
4818,Which object in this image likes to jump on furniture?,Desires
3662,Which object in this image belongs to the category Tennis?,Category
3669,Which one is lighter? Car or the vehicle in the image?,Comparative
3426,Which object in this image is lighter than a car?,Comparative
3668,Which object in this image is related to head?,RelatedTo
2578,which object in this image is less intense than cherry?,Comparative
2579,which object in this image is less intense than cherry?,Comparative
2576,which object in this image is less intense than cherry?,Comparative
2577,which object in this image is less intense than cherry?,Comparative
2574,which object in this image is less intense than cherry?,Comparative
2575,which object in this image is less intense than cherry?,Comparative
2572,which object in this image is less intense than cherry?,Comparative
2570,which object in this image is less intense than cherry?,Comparative
2571,which object in this image is less intense than cherry?,Comparative
2569,which object in this image is less intense than cherry?,Comparative
2568,which object in this image is less intense than cherry?,Comparative
2565,which object in this image is less intense than cherry?,Comparative
2567,which object in this image is less intense than cherry?,Comparative
2566,which object in this image is less intense than cherry?,Comparative
3077,which object in this image is less intense red than cherry?,Comparative
2573,which object in this image is less intense than cherry?,Comparative
5583,Which object in this image can be found on lawn?,AtLocation
3593,what object in this image is a type of vehicle?,IsA
3592,what object in this image is a type of vehicle?,IsA
3591,what object in this image can deliver computers?,CapableOf
3590,Which object in this image belongs to the category Sports originating in England?,Category
3597,Which animal in this image is slower than a horse?,Comparative
4824,Which animal walks faster than the animal shown in this image?,Comparative
1951,What animal in the image is slower than horse?,Comparative
3594,Which object in this image belongs to the category Commercial vehicles? ,Category
5036,You are likely to find a stamp pad in an office,AtLocation
5037,which object in this image is bigger than pedestrian?,Comparative
5035,what's shown in the left part of the image,HasA
1338,What is the object most likely to be found in a bedroom?,HasA
5363,What does this place have?,HasA
2913,What thing does the place shown in this image have as a part?,HasA
5033,Where can you find a home office in this image?,AtLocation
4021,where can we find the place shown in this image,AtLocation
5030,Which object in this image belongs to the category Youth?,Category
4879,Which object in this image belongs to the category Youth?,Category
1234,Which people are young in this image?,Category
3125,What in this image is a youth?,Category
4435,what is on the table,Category
4434,which object in this image is the food that children loves so much,IsA
4132,Which object in this image is a popular food with kid?,IsA
4437,What is used for storing liquid in this image?,UsedFor
4436,What food is cheaper than steak?,Comparative
4433,which object in this image is round,HasProperty
3213,Which object in this image is round?,HasProperty
4153,What is the round object in this image?,HasProperty
4439,What do you need to program?,UsedFor
3176,which object in this image is a basic tool for program,UsedFor
4438,Which object in this image is related to colour?,RelatedTo
977,Which object in this image might be found in a jazz band?,ReceivesAction
754,Which thing in the image can be found in a jazz band?,ReceivesAction
976,What is the container in this image,Category
975,What is the metal thing is used for?,UsedFor
334,What thing in the image can be used for cutting?,UsedFor
890,Which object in this image can be used to cut something,UsedFor
973,what object in this image is used to keep the sun off you?,UsedFor
972,Where can people find bowls,AtLocation
971,Which device in the image can run programs?,CapableOf
970,Which object in this image can be used to erase pencil,UsedFor
969,Which object in this image can be used to erase pencil,UsedFor
979,Where can you find a sink,AtLocation
3386,Which object in this image belongs to the category Consumer electronics?,Category
3387,Which object in the image is often less big than dog?,Comparative
3384,What can be found in this place?,AtLocation
3385,What food in this image is from Italy?,Category
2130,Which object in this image is related to the culture of Italy?,Category
5411,Which object in this image is a furniture ?,RelatedTo
1681,What in this image is a part of the category of Buildings and Structures?,Category
1680,Which object in this image is an acoustic instrument?,IsA
1683,Which object in this image belongs to the category Places?,Category
1682,Which object in this image has a 2 wheel?,HasA
4359,Tell me the object in the image that owns two wheels.,HasA
3157,Which object in this image has two wheels?,HasA
3888,Which object in this image has two wheels?,HasA
1685,Which object in this image is capable of be long or short sleeved?,CapableOf
1973,Which object in this image can be long or short sleeved?,CapableOf
1684,What in this image could die from a snake bite?,CapableOf
1687,Which object in this image desires trick others?,Desires
1686,What vehicle can be seen in this image?,RelatedTo
1689,What object in the center belongs to the category tree?,Category
1688,Which item in this image belongs to the category Flying disc?,Category
4822,Which object in this image is a flying disc?,Category
1469,Which object in this image can be used to place something on it?,UsedFor
1468,Which object in the image is like a tv?,IsA
1465,What surfing equipment is used in this image ?,Category
5193,Which surfing equipment can you see in this image?,Category
1464,Which object in this image belongs to the category Embedded systems?,Category
1467,What can you find on the surface of a desk?,AtLocation
2371,What can you usually find on the surface of a desk?,AtLocation
4340,Which electronical elements can be found in surface of desk?,AtLocation
1466,Which device is expensive?,CapableOf
1461,Which fruit in this image has the property of red?,HasProperty
1460,Which object in this image is red?,HasProperty
1064,Which object in this image has the property of red?,HasProperty
1463,Which object is related to video games?,Category
4239,What object in this image is a type of snack food?,Category
2341,What type of snack food is in this image?,Category
4238,What object in this image is related to a berliner?,RelatedTo
4237,What dessert is in this image?,Category
4236,What in this image is made by cooking?,Category
4235,Which object in this image belongs to the category of Constructions?,Category
4234,which animal in this image is less muscular than a horse?,Comparative
4233,Which object in this image is related to clop?,RelatedTo
4232,What in this image can be used for riding on?,UsedFor
4231,Which object in this image is often yellow?,HasProperty
4151,What is the yellow object in this image?,HasProperty
4230,What kind of watercraft is shown in this image ?,RelatedTo
5591,Where is the place in the image?,HasProperty
5590,Which object is related to display technology?,Category
5593,What property does the scenario in this image have?,HasProperty
5596,What property does the event in this image have?,HasProperty
5595,What property does the event in this image have?,HasProperty
2834,What can you say about the event depicted in this image?,HasProperty
5594,What property does the event in this image have?,HasProperty
2874,What property does the action in this image have?,HasProperty
5597,Which object in this image is related to keymapping?,RelatedTo
5599,which object in this image can used for clicking,RelatedTo
5598,Which object in this image belongs to the category Writing implements?,Category
319,What object in this image can cook dinner?,UsedFor
318,Where can you seat in this room?,IsA
578,what object in this image is a place to sit?,IsA
313,Which object in this image is a kind of media,IsA
1629,What kind of media is shown in this image ?,IsA
1628,What kind of media is shown in this image ?,IsA
311,What thin in the image can block the sunlight from your eyes?,CapableOf
310,What is this place can be used for?,UsedFor
317,What thing is used for storing books,UsedFor
316,What does the right large object contain?,HasA
2367,Which object in this image contains books?,HasA
315,What thing in this image can be used to watch movies,UsedFor
4529,Which object in this image is used to watch movies?,UsedFor
2366,Which object in this image can be used for watching movies?,UsedFor
314,Which object can be used to display images,CapableOf
869,Which appliance in this image can be used to display images?,CapableOf
3299,Which animal in this image can swim?,CapableOf
441,What do fish can,CapableOf
4213,What is the place in this image used for?,UsedFor
4212,Which object in this image is used to display transmitted images?,UsedFor
2602,Which object in this image is used to display a transmitted image?,UsedFor
443,What is on the sky?,RelatedTo
442,When the toy in the centre is introduced?,Category
440,What the food in the image are made of?,RelatedTo
1330,Which object in this image is used for enclosing a space?,UsedFor
445,Which electronic appliance can be used to call someone,UsedFor
1095,Which object in this image can be used to place calls?,UsedFor
958,Which device on the table can be used to call?,UsedFor
2299,which object in this image is bigger than motorcycle?,Comparative
2784,which object in this image is smaller than car?,Comparative
4597,What is the object used for transportation in this image is bigger than motorcycle?,Comparative
2298,Which object in this image is a popular form of transportation especially among child and woman environmentalist and Asian?,IsA
2293,Which thingin this image belongs to the category Clothing by type?,Category
2292,Which thing in this image belongs to the category Clothing?,Category
2291,Which thingin this image belongs to the category Physicians?,Category
2290,Which thing in this image belongs to the category Vision?,Category
2297,Which object in this image belongs to the category transportation systems?,Category
2973,Which object in this image belongs to the category Transport systems?,Category
2296,Which object in this image has a two wheels and two pedals?,HasA
2295,Which object in this image is a instrument of music?,IsA
2294,Which thing in this image can sometimes like to meditate?,Desires
5190,Which object in this image is related to grind?,RelatedTo
4750,Which object in this image is related to grind?,RelatedTo
3354,￼Which object in this image can be used to grind?,RelatedTo
5578,which moving object in this image is smaller than a car?,Comparative
1702,which transportation in this image is smaller than car?,Comparative
1703,which transportation in this image is smaller than car?,Comparative
5165,Which vehicle on the left of the image is smaller than a car?,Comparative
3500,Which object in this image is smaller than a car?,Comparative
5574,Which object in this image is used for hold broth?,UsedFor
4672,What is this place used as?,AtLocation
3438,What is the object in the middle of this image often used for,UsedFor
3439,What is the kingdom of the animal in the middle of this image?,Category
4936,Which kind of sport are those doing  in this image,IsA
685,What sport is being played here?,IsA
4827,What sport is depicted in this image?,IsA
878,Which vehicle in this image is used for riding,UsedFor
759,what object in this image is used for travel,UsedFor
879,Which object in this image has two peddles,HasA
5745,Which object in this image has two pedals?,HasA
3928,Which object in this image has two peddles?,HasA
3430,Which object in this image desires life full of meaning?,Desires
3431,Which object in this image is used for storing cold food?,UsedFor
874,Which tool in the image is used for eating food?,RelatedTo
3434,Which equipment in this image is used to hit baseball?,CapableOf
2948,Which object in this image can be used to hit a baseball?,CapableOf
4904,What is the man holding that can hit a baseball,CapableOf
873,what object int his image is used for cycling?,Category
3437,Which object in this image desires bark?,Desires
2741,which object in this image is a animal that has nose,HasA
5440,Which object in this image has a nose?:,HasA
2740,Which object in this image is related to blade?,RelatedTo
2743,Which food in this image comes from North America?,Category
4130,Which object in this image belongs to the category North American cuisine?,Category
2742,Which object in this image is a favorite fast food?,IsA
4848,which object in this image is a member of a family,Category
1865,Which object in this image belongs to the category Family?,Category
2404,Who in this image are family members?,Category
4594,Which object in this image is in the air?,AtLocation
4846,What type of fish is in this image?,Category
4847,Which object in this image is related to flow?,RelatedTo
4840,Which object in this image might need a tuner?,RelatedTo
4841,Which object in this image has keys?,RelatedTo
4842,Which object in this image belongs to the category Goldfish?,Category
2038,What property does the place in this image have?,HasProperty
1438,What property does the place in this image have?,HasProperty
4256,What property does the place in this image have?,HasProperty
4773,What property does the place in this image have?,HasProperty
5648,Where was the image taken ?,HasProperty
5201,Which object in this image is related to carrot cake?,RelatedTo
5202,Which object in this image is related to carrot cake?,RelatedTo
5200,Which object in this image is used for wedding?,UsedFor
5203,Which object in this image might be bought by the punnet?,RelatedTo
5205,which object in this image belongs to the category of plants?,Category
5204,Which object in this image is a fruit?,IsA
2409,Which object in this image is a fruit?,IsA
5838,Which red object in this image is a fruit?,IsA
5207,which object in this image can play a game with a computer?,CapableOf
5206,what object in this image is capable of buying camping gear?,CapableOf
5209,which object in this image can staple paper?,Desires
5208,which object in this image can fall asleep whilst watching TV?,CapableOf
3048,which sport equipment in this image is softer than basketball?,Comparative
3041,Which object in this image is used for riding?,UsedFor
3498,Which object in this image is used for riding?,UsedFor
3158,Which object in this image is used for a ride?,UsedFor
3612,Which object in this image is used for riding?,UsedFor
4261,Which object in this image is used for ride?,UsedFor
3040,Which object in this image can often be found on the street?,AtLocation
3613,which object often parks on the street,AtLocation
3043,Which object in this image is a two wheeled motorized vehicle?,IsA
703,Which object in this image is a two wheeled motorized vehicle,IsA
3045,Which object in this image is formal clothing?,IsA
3044,Which object in this image is used for commute to work?,UsedFor
3525,which object in this image could you use to commute to work?,UsedFor
3047,What can be less expensive than the place shown on the left?,Comparative
3046,Which object in this image belongs to the category Landscape?,Category
1094,Which object in this image is a portable media player?,Category
1096,What is used as digital audio player?,Category
3154,Which object in this image a digital audio player?,Category
5215,Which object in this image belongs to the category Digital audio players?,Category
1097,Which object in this image is a form of public transportation?,IsA
1098,Which object in this image is a form of public transportation?,IsA
3957,Which object in this image is a form of public transportation?,IsA
5128,Which vehicle in this image is a form of public transportation?,IsA
727,Which object in this image is a form of public transportation,IsA
1090,What property does the place in this image have?,HasProperty
1091,Which object in this image is for Traffic management?,Category
1092,which object in this image has dog fur,RelatedTo
1912,Which object in this image can cover you upper body?,UsedFor
1099,Which object in this image is related to musth?,RelatedTo
1915,Which of the objects in this image is a type of furniture?,IsA
1322,Which object in this image belongs to a motor vehicle?,IsA
3231,what kind of motor vehicle can we observe in this iamge,IsA
1323,Which object in this image has a four tyres?,HasA
637,Which vehicle in this image has four tyres,HasA
1320,which object in this image is less protected than car?,Comparative
1321,Which object in this image can go fast and has two wheels?,HasA
2788,Which object in this image has two wheels and can go fast?,HasA
1326,What is the place in this image used for moving?,UsedFor
1914,Which of these objects is related to paper?,RelatedTo
1328,which object in this image is bigger than horse?,Comparative
1801,which animal in this image is bigger than horse?,Comparative
1329,Which object in this image is related to wire?,RelatedTo
1917,Which object in this image has a frame and two lenses?,HasA
1916,Which object in this image might be used for cuddling?,UsedFor
19,What object in the image can be used for cuddling?,UsedFor
3958,which object in this image costs less money than taxi?,Comparative
282,Which vehicle in this image is cheaper than taxi,Comparative
5476,Which object in this image is cheaper than taxi?,Comparative
3953,Where can the object in the middle of this image be found?,AtLocation
5726,Where does the object at the bottom of the image can be found in?,AtLocation
3952,Which place is less warm than the place shown in this image?,Comparative
2460,What rooms are colder than a living room?,Comparative
5431,Which place is less warm than the place shown in this image,Comparative
2165,Which place is less warm than the place shown in this image,Comparative
4510,Which place is less warm than the place shown in this image,Comparative
2580,Which place may be less warm than the place shown in this image?,Comparative
1239,where is less warm than the place shown in this image,Comparative
3503,Which place is not as warm as the place shown in this image?,Comparative
3950,What shown here can be used for covering the upper body?,UsedFor
1972,Which object in this image is used for covering the upper body?,UsedFor
3956,Which object in this image can be used for go from place to place?,UsedFor
3954,What can this place in the image be used for?,UsedFor
1546,What can be found in this place?,AtLocation
4062,Which object in this image is capable of eat most types of food?,CapableOf
4063,Which object in this image can winter in a cave?,CapableOf
4060,What can maul you to death?,IsA
4059,What can maul you to death?,IsA
4061,Which object in this image has fur?,HasA
4066,Which object in this image is able to eat food?,CapableOf
1710,which object in this image is capable of eating food?,CapableOf
4067,What object in this image has headlights?,HasA
4064,Which object in this image is a large strong intelligent animal with big claws and teeth that lives in cold climates?,IsA
4065,Which equipment in this image belongs to sports?,Category
4068,What object in this image is a type of sports equipment?,Category
4069,Which item in this image belongs to the category Boardsport?,Category
5600,Which object in this image a kind of Boardsport?,Category
5784,What in this image belongs to the category Building materials?,Category
5785,"In this images, which object is related to the category Cutting?",Category
5786,Which object used by the men in this image belongs to the category Saw?,Category
5787,Which object in this image belongs to the category Streets?,Category
5780,Which object in this image has a tail?,HasA
5781,Which object in this image has a four legs?,HasA
5782,which object in this image can live in the rocky place,AtLocation
5783,Which object in this image is related to pearwood?,RelatedTo
5788,Which object in this image is often used to play jazz?,HasProperty
5789,Which object in this image belongs to the category Musical instruments?,Category
3603,what thing is safer than the object in the middle in this image?,Comparative
3602,What food in this image belongs to the category Restaurant terminology?,Category
3601,Which object in this image attribute the category Italian society?,Category
3607,Which object in this image can pull a cart?,CapableOf
3606,Which object in this image belongs to the category Dental materials?,Category
3605,Which object in this image has bristles?,PartOf
3604,Which object in this image is for Road traffic control?,Category
3609,Which object in the image is an electronic gadget?,Category
3608,Which object in this image can be used to control a tv?,CapableOf
350,What can the object in this image do?,CapableOf
4453,What is the reptile in this image?,IsA
4452,which object can we find in this place shown in the image,AtLocation
4449,What can be found in this playground?,AtLocation
1235,What can be found in this place?,AtLocation
4451,Which place is more expensive than the place shown in this image,Comparative
4450,Which object in this image has wheels?,RelatedTo
1844,Which object in this image has wheels?,RelatedTo
3169,What object in this image has wheel?,RelatedTo
4457,Which object in this image belongs to the category Sports equipment?,Category
4456,Which object in this image is usually slower than a desktop computer?,Comparative
4455,What can be seen in this image?,PartOf
4802,What can be found in this place?,PartOf
4697,What thing does the place shown in this image have as a part?,PartOf
2487,What does this place contain?,PartOf
4454,What can be found in this place?,AtLocation
4459,Which vehicle in this image has tires?,PartOf
959,What is monitor used for?,UsedFor
951,What thing in the image can be used for hiding bombs?,UsedFor
950,What is the white line on the racket?,RelatedTo
5194,Which object in this image is strung?,RelatedTo
4154,What object in this image has strings?,RelatedTo
953,Tell me the musical instrument in this image?,Category
955,Which device in the image has letter and numbers on it?,HasA
954,Which thing in this image is used for photography?,UsedFor
957,Which fruit in this image is crop originating from China,Category
1544,Which object on the right can be more convenient than train?,Comparative
717,what object in this image is more convenient than a desktop computer,Comparative
4821,which object in this image is more convenient than desktop computer?,Comparative
1015,Which object in this image is more convenient than desktop computer?,Comparative
4968,Which kind of animal in this image is a herbivore?,IsA
4946,Which object in this image is a herbivore?,IsA
3447,What is the herbivore in this image.,IsA
716,Whether the vehicle in the image is long or short?,HasProperty
2178,Which object in this image is good with cream cheese?,HasProperty
4964,Which object in this image is capable of be update every few year?,CapableOf
4965,Which object in this image is capable of be update every few year?,CapableOf
4963,Which object in this image is capable of be update every few year?,CapableOf
4962,Which object in this image is capable of be update every few year?,CapableOf
4961,Which object in this image is capable of be update every few year?,CapableOf
4960,Which object in this image is capable of be update every few year?,CapableOf
4506,Which object in this image is capable of be replace every few year?,CapableOf
4959,Which object in this image is capable of be update every few year?,CapableOf
1668,Which object in the center of the image is related to banana split?,RelatedTo
1667,which object in this image is more specific than fruit?,Comparative
1665,Which object in this image has a name that is also a colour?,IsA
1664,Which object in this image belongs to the category Capsicum?,Category
1663,Which object in this image can be cateroried to Foods?,Category
1713,What type of food is that on the right side of the plate ?,Category
3829,Which object in this image belongs to the category Foods?,Category
1946,What sort of food can you see in this image?,Category
2067,Which object in this image belongs to the category Foods?,Category
1662,what is it  in this image belongs to the category Mammals with sequenced genomes?,Category
1661,what is it  in this image belongs to the category Mammals with sequenced genomes?,Category
1660,what is it  in this image belongs to the category Mammals with sequenced genomes?,Category
1658,what is it  in this image belongs to the category Mammals with sequenced genomes?,Category
1659,what is it  in this image belongs to the category Mammals with sequenced genomes?,Category
1656,what is it  in this image belongs to the category Mammals with sequenced genomes?,Category
1657,what is it  in this image belongs to the category Mammals with sequenced genomes?,Category
591,What is the animal famous for?,CapableOf
3636,What object in the image can work for days without water?,CapableOf
590,Which object in this image belongs to measuring instrument,Category
593,What is on the back of the animal?,RelatedTo
4264,Which object in this image is related to hump?,RelatedTo
592,Which one is taller? horse or the animal in the image?,Comparative
595,Which object in this image is related to wool,RelatedTo
3019,Which object in this image is related to wool?,RelatedTo
1045,which object in this image is related to 'wool'?,RelatedTo
594,How many humps does the animal in the image has normally?,HasA
5534,Which animal in this image has a either one or two hump?,HasA
597,what object in this image is less manoeuvrable than an airplane?,Comparative
596,Which country you are most likely to find these animals?,ReceivesAction
599,Normally where can you find this thing?,AtLocation
598,What thing in this image is able to carry freight,CapableOf
7,Which object in this image can be used to carry freight?,CapableOf
2896,Which object in this image is capable of carry goods?,CapableOf
2828,Which object in this image belongs to the category Eyewear?,Category
3178,Which object in this image belongs to the category Eyewear?,Category
2829,What is this place used for?,UsedFor
2831,What can you do in this place?,UsedFor
2824,Which object in this image has a tine?,HasA
4898,Which object in this image has tines?,HasA
2978,Which object in this image has tines?,HasA
2825,Which object in this image could be used to make toast?,UsedFor
2826,Which object in this image has the property of bright?,HasProperty
2827,￼Which object in this image is a hat that protect your head?,IsA
1075,Which object in this image is a hat that protect your head?,IsA
2787,Which object in this image is a hat that protect your head?,IsA
2820,What container is visible in this image?,Category
2821,Which object in this image can ring?,CapableOf
2196,which object in this image can ring,CapableOf
2899,What object in this image can ring?,CapableOf
3945,What can ring in this image?,CapableOf
2822,Where does the objects shown in this image can be found?,AtLocation
2823,Which object in this image is used for eat?,UsedFor
5414,What stuff is related to sport?,RelatedTo
5415,Which object in this image is capable of help another?,CapableOf
5416,Which object in this image is a cool crisp vegetable?,IsA
1758,"What cool, crisp vegetable can you see here?",IsA
5417,Which object in this image is larger than a breadbox?,IsA
3382,Which object in this image is very fatty ?,IsA
3383,Which object in this image cotains lettuce?,PartOf
3380,Which object in this image can be found in a fast food restaurant?,AtLocation
3381,What is the healthier food in the image ?,PartOf
5418,Which object has a long nose,HasA
5882,Which object in this image has a long nose called a trunk?,HasA
2035,Which object in this image has a long nose?,HasA
143,Who has a long nose in the image?,HasA
5419,Which object in this image can be found in bus stop?,AtLocation
3388,which object in this image is larger than laptop screen?,Comparative
1407,Which device in this image is larger than laptop screen?,Comparative
3389,Which object in this image is a domestic animal?,IsA
1409,"What is the round, disc-like stuff?",IsA
1408,Which object in this image is a toy that you throw?,IsA
982,what object in this image is a toy that you throw?,IsA
4850,Which object in this image is a toy that you throw?,IsA
1403,What is the place used for?,AtLocation
1402,What is the place in this image used for?,UsedFor
1404,what is the place in this image used for?,UsedFor
4696,What does the place in the image can be used for?,UsedFor
3403,What can you do in this place?,UsedFor
1401,What can you do in this place?,AtLocation
1400,Which object in this image is transparent?,RelatedTo
4517,What object in this image is transparent?,RelatedTo
2228,Which object in this image is transparent?,RelatedTo
1406,Which object in this image belongs to the category Stationery?,Category
2952,What is an item of stationary visible in this image?,Category
